Isotope conc Coh b Abs xs: see http://www.ncnr.nist.gov/resources/n-lengths/index.html 
135Ba 	6.59 	4.67 	5.8 
136Ba 	7.85 	4.91 	0.68 
137Ba 	11.23 	6.83 	3.6 
138Ba 	71.7 	4.84 	0.27 
La 	NOVAL 	8.24 	8.97 
138La 	0.09 	8(2) 	57(6) 
139La 	99.91 	8.24 	8.93 
Ce 	NOVAL 	4.84 	0.63 
136Ce 	0.19 	5.80 	7.3(1.5) 
138Ce 	0.25 	6.70 	1.1 
140Ce 	88.48 	4.84 	0.57 
142Ce 	11.08 	4.75 	0.95 
Pr 	100 	4.58 	11.5 
Nd 	NOVAL 	7.69 	50.5(1.2) 
142Nd 	27.16 	7.7 	18.7 
143Nd 	12.18 	14(2) 	337(10) 
144Nd 	23.8 	2.8 	3.6 
145Nd 	8.29 	14(2) 	42(2) 
146Nd 	17.19 	8.7 	1.4 
148Nd 	5.75 	5.7 	2.5 
150Nd 	5.63 	5.3 	1.2 
Pm 	(2.62 a) 	12.6 	168.4(3.5) 
Sm 	NOVAL 	0.80-1.65i 	5922(56) 
144Sm 	3.1 	-3(4) 	0.7 
147Sm 	15.1 	14(3) 	57(3) 
148Sm 	11.3 	-3(4) 	2.4 
149Sm 	13.9 	-19.2-11.7i 	42080(400) 
150Sm 	7.4 	14(3) 	104(4) 
152Sm 	26.6 	-5.0 	206(6) 
154Sm 	22.6 	9.3 	8.4 
Eu 	NOVAL 	7.22-1.26i 	4530(40) 
151Eu 	47.8 	6.13-2.53i 	9100(100) 
153Eu 	52.2 	8.22 	312(7) 
Gd 	NOVAL 	6.5-13.82i 	49700(125) 
152Gd 	0.2 	10(3) 	735(20) 
154Gd 	2.1 	10(3) 	85(12) 
155Gd 	14.8 	6.0-17.0i 	61100(400) 
156Gd 	20.6 	6.3 	1.5(1.2) 
157Gd 	15.7 	-1.14-71.9i 	259000(700) 
158Gd 	24.8 	9(2) 	2.2 
160Gd 	21.8 	9.15 	0.77 
Tb 	100 	7.38 	23.4 
Dy 	NOVAL 	16.9-0.276i 	994(13) 
156Dy 	0.06 	6.1 	33(3) 
158Dy 	0.1 	6(4) 	43(6) 
160Dy 	2.34 	6.7 	56(5) 
161Dy 	19 	10.3 	600(25) 
162Dy 	25.5 	-1.4 	194(10) 
163Dy 	24.9 	5.0 	124(7) 
164Dy 	28.1 	49.4-0.79i 	2840(40) 
Ho 	100 	8.01 	64.7(1.2) 
Er 	NOVAL 	7.79 	159(4) 
162Er 	0.14 	8.8 	19(2) 
164Er 	1.56 	8.2 	13(2) 
166Er 	33.4 	10.6 	19.6(1.5) 
167Er 	22.9 	3.0 	659(16) 
168Er 	27.1 	7.4 	2.74 
170Er 	14.9 	9.6 	5.8 
Tm 	100 	7.07 	100(2) 
Yb 	NOVAL 	12.43 	34.8 
168Yb 	0.14 	-4.07-0.62i 	2230(40) 
170Yb 	3.06 	6.77 	11.4(1.0) 
171Yb 	14.3 	9.66 	48.6(2.5) 
172Yb 	21.9 	9.43 	0.8 
173Yb 	16.1 	9.56 	17.1(1.3) 
174Yb 	31.8 	19.3 	69.4(5.0) 
176Yb 	12.7 	8.72 	2.85 
Lu 	NOVAL 	7.21 	74(2) 
175Lu 	97.39 	7.24 	21(3) 
176Lu 	2.61 	6.1-0.57i 	2065(35) 
Hf 	NOVAL 	7.7 	104.1 
174Hf 	0.2 	10.9(1.1) 	561(35) 
176Hf 	5.2 	6.61 	23.5(3.1) 
